Chainage,Elevation
8360.848932934823, 68.34217767295598
8392.638036809816, 67.48231132075473
8426.393477006975, 66.70433700209645
8459.493471763411, 65.88541666666667
8496.853861884538, 64.94365828092245
8533.886529285302, 64.0428459119497
8567.641969482462, 63.10108752620546
8602.05285512034, 62.32311320754718
8640.396413402548, 61.34040880503146
8682.344921608727, 60.357704402515736
8713.150857322637, 59.579730083857456
8750.511247443763, 58.597025681341734
8785.249855802003, 57.77810534591197
8813.43400975303, 57.00013102725369
8843.91222274658, 56.18121069182391
8888.482512715642, 55.07566823899373
8919.616171149913, 54.33863993710693
8953.699334067433, 53.56066561844865
8985.816160662787, 52.86458333333336
9019.243878139585, 52.291339098532504
9051.360704734938, 51.759040880503164
9084.460699491376, 51.43147274633125
9125.426039536469, 51.185796645702325
9162.786429657595, 51.02201257861637
9200.146819778722, 50.981066561844884
9236.196319018405, 51.185796645702325
9271.262650097007, 51.39052672955977
9306.984426616329, 51.79998689727465
9341.067589533848, 52.291339098532504
9370.890357086677, 52.78269129979037
9408.578469928163, 53.56066561844865
9447.249750930732, 54.543370020964375
9480.34974568717, 55.40323637316564
9513.449740443606, 56.26310272536689
9547.205180640764, 57.08202306079666
9587.842797965499, 58.105673480083865
9617.010120077606, 58.84270178197066
9647.816055791516, 59.579730083857456
9682.554664149757, 60.48054245283021
9713.360599863669, 61.25851677148849
